RW_Turbidity,pH,Conductivity,PAC
3.6,7.3,47.1,4
3.7,7.4,50.7,4
4.1,7.2,47,4
6.2,7.2,48.2,4
5.6,7.1,53.2,4
5.23,6.8,47.8,4
4.6,6.8,44.4,4
15.6,6.9,44.1,6
47.8,6.9,53.6,9
8.64,6.8,56.8,5
4.41,6.9,53.1,4
7.2,7.1,43.1,4
6.2,7,47.1,4
24.9,7.09,50.3,4
11.5,6.7,55.1,6
52,7.3,88.3,10
41.2,6.8,69.7,8
11,7.4,89,8
9.5,6.7,82.1,8
130,7.2,60.1,10
,,,
2.6,7,78.2,4
3.02,6.78,95.2,4
4.1,6.8,94.5,4
3.2,6.8,86.1,4
8.9,7,74.6,4
4.8,6.7,80.4,4
6.2,7.1,53.3,4
13.2,7.1,64.2,5
5.88,6.98,83.4,4
3.2,7,77.2,4
31.1,7.02,53.4,5
11.2,6.85,54.9,4
10.1,6.7,49.2,4
4.1,6.78,52.1,4
3.17,6.95,78.9,4
4.1,6.7,75.2,4
16.7,6.7,61.2,4
7.39,6.92,68.7,4
5.9,7.1,64.3,5
5.2,6.65,36,5
3.2,6.6,81.1,5
3.8,6.3,80.2,5
3.3,6.8,81.2,5
4.5,7.2,65.3,4
13.3,7.38,72.4,5
15.7,6.9,61.2,4
34.2,7,65.2,8
,,,
22,7.2,55.1,4
6.67,6.6,77.2,5
97,7.1,78.2,10
53,7.2,74.4,9
48.1,7.3,44.1,9
82,7.3,44.6,9
16.2,7.2,52.3,9
13.4,7.34,57.6,5
12.3,6.9,69.3,5
11.3,6.7,64.3,5
8.3,6.8,63,4
8.87,6.86,62.8,4
8.3,6.3,65.3,4
10.8,7,68.2,5
7.9,6.9,64,4
5.24,6.95,66.6,4
6.3,6.8,67.3,4
5.5,6.6,78.1,4
5.15,6.8,70.7,4
5.1,6.7,72.7,4
7.1,6.8,43.2,4
4.34,6.85,71.1,4
4.2,6.9,69.2,4
5.97,7.14,67.6,4
5.63,6.63,69.8,4
3.7,6.8,66.2,4
3.2,6.95,77.1,4
3.06,6.85,74.3,3
3.1,6.65,74.1,3
2.4,6.7,76.3,4
2.5,7.14,67.6,3
2.1,6.7,73,4
2.2,6.86,75.7,3
,,,
4.01,7.3,75.3,4
3.19,7.07,70.7,4
2.01,6.7,36.7,4
21,8.1,51.3,5
10.9,7.8,59.3,6
7.8,7,62.3,7
5.39,7.26,75.5,4
5.8,7.7,71.6,4
9.1,7.4,54.7,4
7.92,7.37,56.3,5
5.2,,60,4
15.2,9.1,36.7,6
5.3,7.3,74.1,6
4.45,7.4,77.7,4
3.6,8.03,36.2,5
7.15,7.95,73.1,5
10.5,7.9,60.9,5
3.1,8.1,73.1,5
3.6,8.4,93.2,5
1.7,8.4,74.1,5
1.6,7.3,77.3,4
4.4,8.6,75,4
7.26,7.76,74,5
14.2,,61.8,3
36.7,,32.1,6
9.5,,66.4,5
9.3,,50.2,5
,,,
2.1,6.67,63.2,4
2.02,7.19,74.6,3
2.29,6.91,68.5,3
3.8,7.1,64.2,3
2.5,6.89,74.1,3
1.61,7.02,72.6,3
1.4,6.9,78.2,3
1.7,6.8,78,3
1.69,6.98,76.5,3
1.63,6.9,77.8,3
1.8,7,71.3,3
1.54,6.97,84.3,3
2.33,6.92,80.3,3
4.51,7.1,77.5,3
3.6,7.1,74.1,3
3.1,7,77.1,3
4,7.1,81.1,3
2.21,7.46,81.4,3
4.2,7.1,71.3,3
3.2,7.3,74.3,3
3.77,7.01,82.1,3
5.2,7.9,74.3,3
,,,
9.3,,53.2,5
20.3,8.1,56.1,5
6.4,8.1,56.1,5
6.5,8.6,50.8,5
6.3,7.3,58.2,5
20.1,8.3,47.1,6
10.1,7.74,49.3,5
93.1,7.8,49.1,7
250,7.8,47.2,10
47.9,8.38,40.9,8
62.9,8.6,34.5,9
40,7.9,21.3,6
411,8.1,49.1,14
193,8.4,34.9,7
18.1,8.1,44.1,8
127,7.65,49.1,8
14.6,7.68,46.3,8
43.6,7.4,48.2,8
12.2,8.41,40.1,6
14.1,8.1,40.2,6
15.1,8.1,49.7,6
51.1,8.1,36.1,7
38,8,38.1,7
21.6,8.1,23.8,7
9.7,8.3,24,6
10.1,7.8,34.1,6
7.1,8.1,20.1,6
20.7,8.2,23.6,6
46.5,7.8,31.2,8
23.2,7.8,39.2,6
,,,
17.89,8.08,26.9,5
59.9,8.6,23.1,8
68.7,7.8,38.1,8
15.1,8.3,22.1,7
28.2,7.93,25.4,6
25.1,8,22.1,8
31,8.5,24.2,7
32.6,7.8,26.1,7
56.5,8.12,24.9,7
110,8.1,25.1,7
33.1,8,22.1,7
22.1,7.9,24.8,7
13,7.8,31.1,7
33,8.5,24.8,8
30.5,8,23.3,7
18.1,7.5,23.1,7
195,7.4,31.2,10
47,7.7,27.2,10
13.5,8.43,21.3,8
174,8.4,20.3,10
86,8.5,22.6,10
12.1,7.9,31.2,8
31.7,8.06,24.8,7
9.8,8.1,24.1,7
10.2,8.2,24.3,7
9.21,8.3,23.8,7
9.21,8.2,22.3,7
,,,
65,8.4,18.2,10
22,8.1,25,8
